"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2018-09-06","Sam Holbrook","CIN","SD","2","6","151","11","8","140","143","-3","92.7","94.7","-2","97.4","-0.16","1.24"
"","2018-09-06","Mike Muchlinski","WSH","CHC","4","6","173","8","9.3","165","163.7","1.3","95.4","94.6","0.8","95.4","0.23","0.65"
"","2018-09-06","Chad Whitson","TOR","CLE","4","9","154","8","10","146","144","2","94.8","93.5","1.3","91.6","0.04","1"
"","2018-09-06","Mark Ripperger","AZ","ATL","6","7","183*","15*","12.8*","168*","170.2*","-2.2*","91.8*","93*","-1.2*","95.1*","-0.51*","2.23*"
"","2018-09-05","Tim Timmons","ATL","BOS","8","9","183","16","13.2","167","169.8","-2.8","91.3","92.8","-1.6","90.2","0.83","2.47"
"","2018-09-05","Marty Foster","CLE","KC","3","1","127","12","9.6","115","117.4","-2.4","90.6","92.4","-1.9","92.9","0.26","1.02"
"","2018-09-05","Lance Barksdale","PIT","CIN","3","2","135","9","8","126","127","-1","93.3","94.1","-0.7","94.8","0.79","1.17"
"","2018-09-05","CB Bucknor","WSH","STL","6","7","166","9","10.3","157","155.7","1.3","94.6","93.8","0.8","94.6","0.33","0.89"
"","2018-09-05","Ramon De Jesus","TOR","TB","10","3","148","12","8.9","136","139.1","-3.1","91.9","94","-2.1","93.9","0.39","1.33"
"","2018-09-05","Bill Welke","MIA","PHI","2","1","140","8","11.2","132","128.8","3.2","94.3","92","2.3","95.7","0.32","1.22"
"","2018-09-05","Mark Wegner","LAD","NYM","3","7","127","8","12.1","119","114.9","4.1","93.7","90.5","3.2","91.3","0.41","0.83"
"","2018-09-05","Greg Gibson","TEX","LAA","3","9","175","12","11.8","163","163.2","-0.2","93.1","93.2","-0.1","94.9","-0.11","1.31"
"","2018-09-05","Jeff Nelson","HOU","MIN","9","1","199","15","14","184","185","-1","92.5","93","-0.5","91","-1.06","2.16"
"","2018-09-05","Alfonso Marquez","CWS","DET","2","10","160*","7*","8.7*","153*","151.3*","1.7*","95.6*","94.6*","1*","92.5*","-0.81*","0.97*"
